Item,Part Number,Description,Quantity (PART),LINK ,Prices,Total,Notes,Seller
1,ESP32S3,Microcontroller,1,https://www.amazon.com/ESP32S3-2-4GHz-Dual-core-Supported-Efficiency-Interface/dp/B0BYSB66S5/ref=sr_1_1_sspa?crid=Z525KSNP9VPC&dib=eyJ2IjoiMSJ9.HtKSP91E0qTd6Sad5VL6CIhqyMA79j11uzXyqpXjBg44Yc48TnbW_kp2-b00Z50TacgOJat6F3jhDXjZoEChF50iKi5XKrUlnmOHSDPriGKzwt_zebNM7YMtQQGsWaE4X_VZikiDNa8d-uKK3Hq991unwzfHzrD1WjgQk9pWyCT_XfHcCmDEi4D5YJGDAjXNfF_d2b8yHL9l62DH-efnwZHry3DavhmBXkp9RzLLA6w.a_IRPdvGQLdx44y7xzY8QZKDBmNABkDPw8urgWWmh0k&dib_tag=se&keywords=seeed%2Bstudio%2Bxiao%2Besp32-s3&qid=1788566673&sprefix=seeed%2B%2Caps%2C309&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,$16.99,$84.16,ESP32S3 specifically,AMAZON
2,3.7V18650,Battery,1,"Amazon.com: XINLANTECH 3.7V 2600mAh 18650 Rechargeable Li-ion Battery with Jst XH2.54/2P Connector Plug Wires for DIY Electronics, Toys, Lighting,Bluetooth Devices and More : Health & Household",$11.72,,wired,AMAZON
4,N.A,Capacitor Kit,1,https://www.amazon.com/ALLECIN-Electrolytic-Capacitor-Assortment-Kit/dp/B0C1VBXCQM/ref=sr_1_1_sspa?crid=3SBQ1AWWGUQ4D&dib=eyJ2IjoiMSJ9.YFwrrAqezx1Vbz3vJAGKKnO3SpPvs40JpAYW_BWrVdzM5FrzHx5b07Pd8MxHHVfGHGcGh35T-eAnWIGW4b_NbcJxN27iNNH8oggfrn0fHiJznVu0POQZizecGKb45sLJJT21Rlx4H-6S4LoDkfOFEaqj4ls_lzteaRKDSihK6c7XXm4cShi2BvnK7ZkjwxkSs18XWwmzz7Ksu9QuZbMSKvQH8FwsOMeAMEFxikEK4zs.UslExqV0g4LusMh364ByKK7jmZC0PGkIjt2aOoxRN_w&dib_tag=se&keywords=capacitor&qid=1788573983&sprefix=capac%2Caps%2C234&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,$9.99,,,AMAZON
5,N/A,Wire Connectors Kit,1,https://www.amazon.com/Taiss-Connector-Housing-Connectors-F-066-580PCS/dp/B0BHT1FQGY/ref=sr_1_7?crid=2ESOLC3XSEVB5&dib=eyJ2IjoiMSJ9.OJJ16mU3PEj3phTtMm5ZhqfcZYqwwjsU-OPKKtXW2Imls4CJYweRBxWGTygoehYzWqEFYHU2NOLBbMzTsDk_IZyu2VmQNc19U0-MmLfXRAI_VGIwXxtIQTP2jiF8PHyOgaiM3rW5Bx4bzVUHUVVWrQQ6MhyzUq9Px6johe4FjWzDlAMXn233JrUsffQ09orZNFaKgwWpxTPR3e-IcU7Bv3MFJase7DbqkgO0ubyq-0BHCCRavRwCMi2UlV5oRUgH67-F9Kt5r6CxChX1jbfAWe-KOZ6Oiuhg-WNOvY1VrWU.T8tsraBdyJbH3m-j-5fv8fra-rgHS2Ce3DRLJWSXS-c&dib_tag=se&keywords=JST-PH&qid=1788797937&sprefix=jst-ph%2Caps%2C198&sr=8-7&th=1,$9.99,,,AMAZON
6,SKU:MC242GX,Screen,1,https://www.aliexpress.us/item/2255799816264653.html?spm=a2g0o.productlist.main.1.139d3897fMh5Fy&algo_pvid=b1d9e461-7682-42fb-b4e2-b0e4688c8fdb&algo_exp_id=b1d9e461-7682-42fb-b4e2-b0e4688c8fdb-0&pdp_ext_f=%7B%22order%22%3A%224756%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.26%217.56%21%21%218.26%217.56%21%40210328df17887976376563145e0d78%2112000037978104073%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000214291561&curPageLogUid=IFZZanUI4FB5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000002579405%7C_p_origin_prod%3A,$7.56,,white,AMAZON
7,KY040,Rotary Encoder,1,https://www.aliexpress.us/item/3256805874306729.html?spm=a2g0o.productlist.main.3.31bdzScFzScFPz&algo_pvid=d3db6f19-f9c7-4bf1-bacf-0e3390933e4e&algo_exp_id=d3db6f19-f9c7-4bf1-bacf-0e3390933e4e-2&pdp_ext_f=%7B%22order%22%3A%22362%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.39%211.34%21%21%219.27%218.91%21%4021030dcd17887968122648782e0cd6%2112000035549816883%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A49f1560e%3Bm03_new_user%3A-29895&curPageLogUid=dIarbOQrocIS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006060621481%7C_p_origin_prod%3A,$1.34,,,ALI EXPRESS
8,SW_Push,12mm Momentary Push Button,1,https://www.aliexpress.us/item/3256804314578211.html?spm=a2g0o.productlist.main.54.4dfe75e0rDAJkL&aem_p4p_detail=202609070900561578569199146520001982459&algo_pvid=218a91a8-1744-4790-a9fb-919b7c3ba8f1&algo_exp_id=218a91a8-1744-4790-a9fb-919b7c3ba8f1-51&pdp_ext_f=%7B%22order%22%3A%225164%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.81%211.25%21%21%2112.09%218.34%21%402101d2e717887968560253162e0d0d%2112000040753560210%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A49f1560e%3Bm03_new_user%3A-29895&curPageLogUid=THWkP4Y0HGia&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004500892963%7C_p_origin_prod%3A&search_p4p_id=202609070900561578569199146520001982459_17,$1.25,,red,ALI EXPRESS
9,KCD01,SPST Switch,1,https://www.aliexpress.us/item/3256804169767079.html?spm=a2g0o.productlist.main.1.7d9bdROFdROFbS&algo_pvid=f2542214-7354-454e-9098-53c6bbe83d05&algo_exp_id=f2542214-7354-454e-9098-53c6bbe83d05-0&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.98%211.98%21%21%211.98%211.98%21%402103119c17887970499093996e10e5%2112000028882617475%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A49f1560e%3Bm03_new_user%3A-29895&curPageLogUid=kfSuK7F9Npq4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004356081831%7C_p_origin_prod%3A,$1.98,,red,ALI EXPRESS
10,N/A,5V Boost,1,https://www.aliexpress.us/item/3256812360325771.html?spm=a2g0o.productlist.main.44.1c9c147bAuK36t&aem_p4p_detail=202609070905052496594464036190001983839&algo_pvid=30522274-b043-4d24-9f7b-0ddf259cbd17&algo_exp_id=30522274-b043-4d24-9f7b-0ddf259cbd17-43&pdp_ext_f=%7B%22order%22%3A%2271%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.83%210.76%21%21%215.56%215.12%21%402101e81117887971059225863e0e95%2112000058677152564%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A49f1560e%3Bm03_new_user%3A-29895&curPageLogUid=Ue7Sb1GEffMK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012546640523%7C_p_origin_prod%3A&search_p4p_id=202609070905052496594464036190001983839_11,$1.45,,,ALI EXPRESS
11,SN74AHCT125N,Level Shifter,1,https://www.aliexpress.us/item/3256807469514168.html?spm=a2g0o.productlist.main.1.23cf608bkslajj&algo_pvid=a201dd9d-399e-4804-be49-d9f64c580be4&algo_exp_id=a201dd9d-399e-4804-be49-d9f64c580be4-0&pdp_ext_f=%7B%22order%22%3A%222200%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.41%211.99%21%21%212.41%211.99%21%402103128817887971938856810e108b%2112000041675151148%21sea%21US%218031176192%21X%211%210%21n_tag%3A-29911%3Bd%3A49f1560e%3Bm03_new_user%3A-29895%3BpisId%3A5000000214291561&curPageLogUid=zjFDIzLuRHGn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007655828920%7C_p_origin_prod%3A,$2.41,,,ALI EXPRESS
